SiteCode,Name_EN,Name_FR,Latitude,Longitude,AltMin,AltMax,Area,DateAssessed,PercentProtected,BoundaryGeneralized,Level,CriteriaMet,ConservationActions,Landcover,Province,Species
AB002,"Peace-Athabasca Delta","Peace-Athabasca Delta",58.65,-111.23,250,250,7584.605,"2022-08-18 00:00:00",94,0,Global,"Global: Aggregations of birds (D1). National: Aggregations of birds (D1)","Site/area protection, Legislation, Site/area management","Temperate or sub-polar shrubland(2.85%), Water(34.59%), Temperate or sub-polar grassland(3.3%), Temperate or sub-polar needleleaf forest(9.05%), Mixed forest(13.19%), Wetland(35.4%), ",Alberta,"Tundra Swan(Cygnus columbianus), "
AB079,"Frank Lake (south)","Frank Lake (south)",50.55,-113.71,1002,1042,100.53,"2022-08-18 00:00:00",0,0,Global,"Global: D1 - Demographic aggregations (birds). National: A1 - Threatened species (birds); D1 - Demographic aggregations (birds)","Awareness & communications, Site/area management, Site/area protection","Temperate or sub-polar grassland(12.11%), Temperate or sub-polar needleleaf forest(0.24%), Temperate or sub-polar shrubland(1.39%), Barren lands(0.09%), Wetland(0.01%), Water(18.17%), Cropland(64.6%), Urban(3.39%), ",Alberta,"Franklin's Gull(Leucophaeus pipixcan), Trumpeter Swan(Cygnus buccinator), Bank Swallow(Riparia riparia), "
AB130,"Castleguard Cave","Castleguard Cave",52.09,-117.23,1600,3414,131.95,"2022-12-02 00:00:00",100,0,National,"Global: A1 - Threatened species (invertebrates); B1 - Individual geographically restricted species (invertebrates). National: ","Site/area management, Site/area protection, Resource & habitat protection, Policies and regulations, Legislation","Temperate or sub-polar grassland(3.69%), Urban(0.01%), Temperate or sub-polar needleleaf forest(18.87%), Water(1.03%), Mixed forest(0.06%), Barren lands(40.59%), Temperate or sub-polar shrubland(0.97%), Wetland(0.12%), ",Alberta,"Castleguard Cave Stygobromid(Stygobromus canadensis), "
AB131,"Richardson Sands","Richardson Sands",58.03,-110.99,260,312,80.02,"2023-08-21 00:00:00",100,0,National,"Global: . National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)","Site/area protection, Policies and regulations, Legislation","Temperate or sub-polar needleleaf forest(1.75%), Sub-polar taiga needleleaf forest(2.42%), Water(3.15%), Temperate or sub-polar shrubland(1.73%), Barren lands(12.03%), Mixed forest(0.29%), Urban(1.1%), Temperate or sub-polar grassland(73.93%), Wetland(3.59%), ",Alberta,"Impoverished Pinweed(Lechea intermedia var. depauperata), "
AB132,"Whitehorse Wildland","Whitehorse Wildland",53.00,-117.44,1593,2695,70.09,"2023-10-05 00:00:00",100,0,National,"Global: . National: A1 - Threatened species (mammals, nonvascular plants); B1 - Individual geographically restricted species (nonvascular plants)","Invasive/problematic species control, Awareness & communications, Species management, Legislation, Resource & habitat protection, Policies and regulations, Site/area protection, Site/area management","Temperate or sub-polar needleleaf forest(41.46%), Barren lands(39.63%), Water(0.2%), Temperate or sub-polar shrubland(6.04%), Wetland(1.27%), Mixed forest(2.5%), Temperate or sub-polar grassland(8.85%), Urban(0.04%), ",Alberta,"Little Brown Myotis(Myotis lucifugus), Northern Myotis(Myotis septentrionalis), Porsild's Bryum(Haplodontium macrocarpum), "
AB133,"Dune Point Sandhills","Dune Point Sandhills",50.93,-110.41,595,649,6.84,"2023-10-05 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (invertebrates, mammals, vascular plants)",,"Temperate or sub-polar grassland(93.55%), Water(0.14%), Barren lands(0.56%), Temperate or sub-polar shrubland(5.74%), ",Alberta,"Spiny Milk-vetch(Astragalus kentrophyta), Gold-edged Gem Moth(Schinia avemensis), Dusky Dune Moth(Copablepharon longipenne), Ord's Kangaroo Rat(Dipodomys ordii), "
AB134,"Banff Thermal Springs","Banff Thermal Springs",51.16,-115.58,1401,1704,1.78,"2023-12-14 00:00:00",100,0,National,"Global: A1 - Threatened species (invertebrates); B1 - Individual geographically restricted species (invertebrates). National: ","Formal education, Site/area protection, Awareness & communications, Invasive/problematic species control, Species re-introduction","Water(0.46%), Temperate or sub-polar grassland(0.87%), Barren lands(1.05%), Temperate or sub-polar needleleaf forest(94.17%), Urban(3.33%), ",Alberta,"Banff Springs Snail(Physella johnsoni), "
AB135,Writing-on-Stone,Writing-on-Stone,49.07,-111.62,901,1093,95.08,"2024-06-26 00:00:00",26,0,National,"Global: . National: A1 - Threatened species (fishes, invertebrates, vascular plants); B1 - Individual geographically restricted species (fishes, invertebrates)","Formal education, Species management, Site/area protection, Awareness & communications, Species recovery","Water(2.57%), Temperate or sub-polar grassland(89.52%), Temperate or sub-polar shrubland(1.97%), Cropland(0.76%), Wetland(0.01%), Urban(0.81%), Temperate or sub-polar broadleaf deciduous forest(0.06%), Barren lands(4.28%), Temperate or sub-polar needleleaf forest(0.02%), ",Alberta,"Western Silvery Minnow(Hybognathus argyritis), Rocky Mountain Sculpin(Cottus sp. cf. bairdii pop. 12), Spiny Milk-vetch(Astragalus kentrophyta), Weidemeyer's Admiral(Limenitis weidemeyerii), "
BC002,"Tofino Mudflats","Tofino Mudflats",49.15,-125.87,0,510,99.76,"2022-08-18 00:00:00",48,0,Global,"Global: A1 - Threatened species (birds); D1 - Demographic aggregations (birds). National: A1 - Threatened species (birds); D1 - Demographic aggregations (birds)","Legislation, Site/area management, Site/area protection, Awareness & communications, Invasive/problematic species control","Temperate or sub-polar needleleaf forest(52.1%), Urban(2.12%), Barren lands(0.18%), Water(42.98%), Temperate or sub-polar shrubland(2.24%), Temperate or sub-polar grassland(0.38%), ","British Columbia","Western Sandpiper(Calidris mauri), Marbled Murrelet(Brachyramphus marmoratus), Least Sandpiper(Calidris minutilla), Whimbrel(Numenius phaeopus), "
BC017,"Fraser River Estuary","Fraser River Estuary",49.15,-123.12,0,5,686.869,"2022-08-18 00:00:00",44,0,Global,"Global: Aggregations of birds (D1). National: Threatened birds (A1); Aggregations of birds (D1)",,"Urban(9.68%), Cropland(20.29%), Water(54.58%), Temperate or sub-polar grassland(3.27%), Temperate or sub-polar needleleaf forest(3.99%), Temperate or sub-polar shrubland(5.7%), Barren lands(1.08%), ","British Columbia","Brant(Branta bernicla), Trumpeter Swan(Cygnus buccinator), Glaucous-winged Gull(Larus glaucescens), Surf Scoter(Melanitta perspicillata), Dunlin(Calidris alpina), Western Sandpiper(Calidris mauri), Black Swift(Cypseloides niger), White-winged Scoter(Melanitta deglandi), Western Grebe(Aechmophorus occidentalis), Barn Owl(Tyto alba pop. 1), American Wigeon(Mareca americana), "
