SpeciesID,Sensitive,Kingdom,Phylum,Class,Order,Family,InformalTaxonomicGroup,TaxonomicLevel,ScientificName,CommonName_EN,CommonName_FR,Subspecies_EN,Subspecies_FR,Population_EN,Population_FR,BirdAlphaCode,BCSpeciesID,WDKBASpecRecID,IUCNTaxonID,IUCNAssessmentID,IUCNStatusID,IUCNStatusCriteria,IUCNAssessmentDate,IUCNPopulationTrend,IUCNLink,COSEWICTaxonID,COSEWICStatusID,COSEWICStatusCriteria,COSEWICAssessmentDate,SARAStatus,SARAAssessmentDate,COSEWICLink,NSElementCode,NSGlobalUniqueID,NSElementGlobalID,NSGRank,NSGRankReviewDate,NSNRank,NSNRankReviewDate,NSLink,Systems,Endemism,Range,Range_EN,Range_FR,GlobalPopulationSize,ContinentalPopulationSize,NationalPopulationSize,CitationGlobalPopulation,CitationContinentalPopulation,CitationNationalPopulation,NationalTrend,CitationNationalTrend,cosewic,iunc,sites
222,,Animalia,Arthropoda,Insecta,Diptera,Psilidae,Invertebrates,Species,"Loxocera ojibwayensis","a rust fly",,,,,,,,,,,7,,,,,,6,,,,,,IIDIP8N010,ELEMENT_GLOBAL.2.964373,964373,GNR,,NNR,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.964373,,Y,ON,Ontario,Ontario,,,,,,,,,"Not Assessed","Not Evaluated (NE)","ON185, "
169,,Animalia,Mollusca,Bivalvia,Myoida,Pholadidae,Invertebrates,Species,"Barnea truncata","Atlantic Mud-piddock","Pholade tronquée",,,,,,,,,,7,,,,,1065,2,D2,2021-05-01,Threatened/Menacée,2017-04-13,https://species-registry.canada.ca/index-en.html#/species/1065-738,IMBIVA5010,ELEMENT_GLOBAL.2.834581,834581,G5,2009-12-07,N1,2022-06-15,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.834581,Marine,N,NS,"Nova Scotia",Nouvelle-Écosse,,,,,,,,,Threatened,"Not Evaluated (NE)","NS019, NS020, "
179,,Animalia,Mollusca,Gastropoda,Basommatophora,Physidae,Invertebrates,Species,"Physella johnsoni","Banff Springs Snail","Physe des fontaines de Banff",,,,,,,,165539,49748245,1,B1ab(iii)c(iv)+2ab(iii)c(iv),2015-09-03,Stable,https://www.iucnredlist.org/species/165539/49748245,311,1,B1ab(iii)c(iv)+2ab(iii)c(iv),2018-04-01,"Endangered/En voie de disparition",2003-06-05,https://species-registry.canada.ca/index-en.html#/species/311-217,IMGASM0180,ELEMENT_GLOBAL.2.114632,114632,G1Q,2015-02-16,N1,2022-09-10,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114632,Freshwater,Y,AB,Alberta,Alberta,16177,,,"COSEWIC 2018",,,,,Endangered,"Critically Endangered (CR)","AB134, "
218,,Animalia,Mollusca,Gastropoda,Stylommatophora,Arionidae,Invertebrates,Species,"Prophysaon coeruleum","Blue-grey Taildropper","Limace-prophyse bleu-gris",,,,,,,,,,7,,,,,929,2,B1ab(iii)+2ab(iii),2016-04-29,Threatened/Menacée,2007-12-13,https://species-registry.canada.ca/index-en.html#/species/929-610,IMGAS62030,ELEMENT_GLOBAL.2.117511,117511,G3G4,2010-04-21,N2N3,2022-12-08,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117511,Terrestrial,N,BC,"British Columbia",Colombie-Britannique,,,,,,,,,Threatened,"Not Evaluated (NE)","BC294, "
157,,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Invertebrates,Subspecies,"Hemileuca maia menyanthevora","Bogbean Buckmoth","Hémileucin du ményanthe",,,,,,,,,,7,,,,,1058,1,B1ab(iii)+2ab(iii),2009-11-27,"Endangered/En voie de disparition",2012-06-20,https://species-registry.canada.ca/index-en.html#/species/1058-733,IILEW0MX10,ELEMENT_GLOBAL.2.116596,116596,G5T1,2006-11-27,N1?,2021-11-08,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116596,Terrestrial,N,ON,Ontario,Ontario,,,,,,,,,Endangered,"Not Evaluated (NE)","ON182, ON186, "
108,,Animalia,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,Invertebrates,Species,"Stygobromus canadensis","Castleguard Cave Stygobromid",,,,,,,,,,,7,,,,,,6,,,,,,ICMAL05A90,ELEMENT_GLOBAL.2.106704,106704,G1,2013-05-07,N1,2022-09-08,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106704,Freshwater,Y,AB,Alberta,Alberta,,,,,,,,,"Not Assessed","Not Evaluated (NE)","AB130, "
303,,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Invertebrates,Subspecies,"Cercyonis pegala incana","Common Wood-Nymph",,"incana subspecies",,,,,,,,,7,,,,,,6,,,,,,IILEPN701G,ELEMENT_GLOBAL.2.120061,120061,G5T4T5,2003-01-31,N2,2016-06-14,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120061,Terrestrial,N,BC,"British Columbia",Colombie-Britannique,,,,,,,,,"Not Assessed","Not Evaluated (NE)","BC272, "
54,,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Invertebrates,Species,"Germaria angustata","Dune Tachinid Fly","Mouche tachinide des dunes",,,,,,,,,,7,,,,,1143,3,,2011-05-06,"Special Concern/Préoccupante",2017-02-03,,IIDIP7L010,ELEMENT_GLOBAL.2.817105,817105,G4G5,2009-02-12,N3,2011-05-28,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.817105,,N,YT,Yukon,Yukon,,,,,,,,,"Special Concern","Not Evaluated (NE)","YK031, YK034, YK037, "
125,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Invertebrates,Species,"Copablepharon longipenne","Dusky Dune Moth","Noctuelle sombre des dunes",,,,,,,,,,7,,,,,997,2,"B2ab(ii,iii)",2022-05-01,"Endangered/En voie de disparition",2010-02-23,https://species-registry.canada.ca/index-en.html#/species/997-681,IILEYKP090,ELEMENT_GLOBAL.2.114005,114005,G4,2002-05-31,N2,2022-06-24,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114005,Terrestrial,N,"AB, MB, SK","Alberta, Manitoba, Saskatchewan","Alberta, Manitoba, Saskatchewan",,,,,,,,,Threatened,"Not Evaluated (NE)","SK130, SK131, SK132, AB133, SK133, SK134, "
181,,Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Invertebrates,Species,"Truncilla donaciformis",Fawnsfoot,"Troncille pied-de-faon",,,,,,,,188874,1914407,5,,2012-03-05,Decreasing,https://www.iucnredlist.org/species/188874/1914407,1009,1,"A2ce; B2ab(i,ii,iii,iv,v)",2008-04-25,"Endangered/En voie de disparition",2019-08-08,https://species-registry.canada.ca/index-en.html#/species/1009-698,IMBIV45020,ELEMENT_GLOBAL.2.121170,121170,G5,2024-07-04,N1,2022-09-20,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.121170,Freshwater,N,ON,Ontario,Ontario,,,,,,,,,Endangered,"Least Concern (LC)","ON189, ON180, "
